sku,national_inv,lead_time,in_transit_qty,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,went_on_backorder
1111623,0,8,0,2,78,0,0.68,0.58,0,Yes
1111650,110,8,0,3,78,0,1,0.95,0,No
1111651,143,8,1,27,78,0,0.81,0.86,0,No
1111652,24,8,0,7,78,0,1,0.95,1,Yes
1111653,36,8,0,2,78,0,-99,-99,0,No
1111654,163,8,0,0,78,0,0.99,0.98,0,No
1111655,-55,8,2,52,78,0,-99,-99,56,Yes
1111656,74,8,0,0,78,0,0.81,0.83,0,No
1111657,225,8,0,1,78,0,0.95,0.97,0,No
1111659,30,8,14,24,78,0,0.98,0.92,0,Yes
1111670,-499,12,350,401,78,0,0.49,0.72,525,Yes
1111929,1,8,2,0,78,0,0.97,0.94,0,Yes
1111930,10,8,0,0,78,0,1,0.92,0,No
1111931,94,8,0,2,78,0,0.48,0.53,0,No
1111932,5,9,0,0,78,0,0.99,0.85,0,No
1112970,1,10,0,5,78,0,0.83,0.75,0,No
1112971,13,2,0,4,78,0,0.99,0.99,0,Yes
1112972,1,8,0,1,78,0,0.95,0.97,0,No
1112985,720,2,854,157,78,0,0.8,0.92,0,No
1112986,5,2,0,3,78,0,0.06,0.5,0,Yes
1112987,4,8,0,0,78,0,0.93,0.97,0,No
1112993,3,8,0,0,78,0,1,0.92,0,No
1112994,0,2,0,0,78,0,0.1,0.05,0,Yes
1112995,7,12,0,2,78,0,0.93,0.94,0,No
1113056,0,8,4,0,78,0,0.6,0.43,0,No
1113057,-4,8,0,5,78,1,0.77,0.74,4,Yes
1113058,0,0,0,1,78,0,0,0,0,No
1113110,87,8,3,18,78,0,1,0.99,0,No
1113111,8,8,0,4,78,0,0.96,0.94,0,Yes
1113112,13,9,0,0,78,0,0.85,0.83,0,No
1113120,134,9,0,0,78,0,0.69,0.68,0,No
1113121,0,8,1,0,78,1,0.9,0.89,0,Yes
1113122,0,10,2,0,78,0,0.89,0.9,0,Yes
1113123,500,12,0,0,78,0,0.96,0.86,0,No
1113198,24,4,0,0,78,0,0.85,0.93,0,No
1113199,0,12,1,0,78,0,0.82,0.79,0,Yes
1113221,24,2,0,0,78,0,0.2,0.07,0,No
1113222,57,8,0,101,78,0,0,0,3,Yes
1113223,18,2,0,0,78,0,0.47,0.39,0,No
1113268,0,8,0,0,78,0,0.96,0.97,0,Yes
1113269,82,9,0,24,78,0,0.93,0.97,0,No
1113270,53,8,0,1,78,0,0.81,0.83,0,No
1113271,7,4,0,0,78,0,0.77,0.8,0,No
1113365,86,3,16,19,78,0,0.99,0.99,0,No
1113366,2,8,0,1,78,0,0.99,0.99,0,Yes
1113367,113,2,0,2,78,0,0.97,0.98,0,No
1113368,102,12,0,0,78,0,0.62,0.73,0,No
